课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩
人文社科资料检索,通识选修课（公选课）,社会科学与现代社会,涂文波,主要讲写论文或者调查需要的数据 很有用 老师给分也很好,有签到和小组展示 作业会当堂讲答案,论文结课 要求写一篇检索报告 会给格式,92
货币金融学,专业课程,非公选课,刁莉,考前会划考试范围，平时可水,平时无作业，有一两次签到，一次小组展示，一次课堂测试（同学互改），无期中考试。,闭卷考试闭卷考试闭卷,87
中国绘画与绘画美学,专业课程,非公选课,范明华,哲学院专业选修课，讲中国传统绘画（如山水画人物画花鸟画等）和绘画美学原理，老师会带画来给大家欣赏。但是我得分一般所以。。。（虽然也有可能是我论文写太水了。。。,有三次纸质签名考勤，期中3k读书笔记,4k5论文，老师给题目,83
健身与塑形,体育课,非公选课,余俊明,熟悉器械练习拉伸塑形,有签到无作业很轻松愉快,平时加考核主要以平时为主,91
工程制图,公共课（高数、线代、大物和思政课等）,非公选课,刘天祯,讲的好，温柔！老师耐心！给分好,课前随机点人回答问题,应该是期末考试加平时分吧,95
宪法学,专业课程,非公选课,苏绍龙,老师很好，法学生都懂,一份论文A4一页留档,考试。。。。。。。。。。,92
素质体育1,体育课,非公选课,任为民,老师管的不严，一般在打太极拳之前会让打一会羽毛球热身，and下课很早,有签到，建议准时到，可早退,太极+乐跑+体测，都很松的,94
思想道德与法治,公共课（高数、线代、大物和思政课等）,非公选课,陈琳瑛,老师很负责，考前有重点,有几次签到，提问计入平时成绩，一次期中小组展示,期末考核方式为统一期末考试,90
c语言程序设计,公共课（高数、线代、大物和思政课等）,非公选课,刘珺,很好，老师教的很细致到位,有签到和大作业，也有提问,大作业小作业和期末考综合评分,90
程序设计B（C语言）,公共课（高数、线代、大物和思政课等）,非公选课,刘珺,C语言，讲到字符串部分,每周一次小作业，期末一个大作业,期末闭卷（占比50%）,97
思想道德与法治,公共课（高数、线代、大物和思政课等）,非公选课,杨燕,思政课本的内容，以ppt为主,有签到，慕课要听要做，慕课有线上期末，要拍微视频,期末闭卷考试（占比40%）,92
大学化学实验,公共课（高数、线代、大物和思政课等）,非公选课,刘艺斌,老师实验很看重印象分。。真选了的话多刷刷老师好感。劝你最好退退退因为他可能会因为你一次失误给你差印象分进而低分…,60%实验报告 40%课堂表现等,实验报告和课堂表现结课，没考试,84
商务沟通与谈判,通识选修课（公选课）,社会科学与现代社会,余振,老师讲的非常好 稍微有点讲规矩 但是只要不是当着面违反就行,有类似于签到的行为 建议每节课都去 没有作业什么的, 只有期末考试 考试是很随机的 并不会考课程的知识 我考的是给导师第一次写信推荐自己 第二次推荐 以及拒绝导师 三封信,90
大学英语,公共课（高数、线代、大物和思政课等）,非公选课,李瑾杰,无。。。。。。。。。。。。,无。。。。。。。。。。。。,考试。。。。。。。。。。,81
思想道德与法治,通识必修课（导引课）,非公选课,卢丽珠,老师给分不错赞赞赞赞,考勤比较多，平时作业几乎没有,慕课成绩+思修小视频+期末考试,93
高等数学c,公共课（高数、线代、大物和思政课等）,非公选课,周明春,讲的很细，会讲习题，比较幽默,经常签到，会记住每个人的名字，上课不允许用电子产品,统一考试，给分超好，认真学了的都挺高，不用担心成绩，我的高数之神！！！！,98
高等数学A1,公共课（高数、线代、大物和思政课等）,非公选课,胡新启,老师很好，讲课很有意思,考勤很松，参加期中考试就行：作业还得交,正常考试。。。。。。。。。,87
线性代数,公共课（高数、线代、大物和思政课等）,非公选课,张晓平,给老师跪下了太好了！啊啊啊啊,作业少而精，上课用心极了。,考试 11111111,88
高等代数与解析几何,专业课程,非公选课,樊启斌,课程主要讲述高代那本书,平时基本不点名，有两次小测，分别占比百分之10,闭卷考试 占比70百分之，但有高分保护，只要期末上了90，老师就不会让你综测下期末成绩,95
素质体育1,体育课,非公选课,崔德刚,老师很有趣，体育课还会给时间刷乐跑，很了解学生想法，他还捞我了呜呜呜呜,每节课都考勤，无作业,太极拳，八百米，跳远，仰卧起坐这些,90
保密学概论,专业课程,非公选课,邓胜利,好几个老师讲不同的保密知识，最后一节课老师画重点，基本就是考试内容，很重点,一次小作业，可能别的老师也会布置，但很少,闭卷考试，但是重点都画的很全,85
大学生物学,专业课程,非公选课,谢志雄,老师很友善，就是讲课声音有点小,签到，可以选pre或论文,考试成绩和平时分加权,90
高等数学a,公共课（高数、线代、大物和思政课等）,非公选课,周进,老师很认真，适合想好好学的同学,每周一次平时作业，不定期点名,考试成绩和平时分加权,92
线性代数,公共课（高数、线代、大物和思政课等）,非公选课,胡新启,行列式，矩阵和一些性质,无签到，有期中考试占30%,正常考试，期中上90分的话大概率会捞你 给你加点分。（虽然期中91但最后总评还是满分了）老师也风趣幽默，但讲的偏快。,100
C语言程序设计,公共课（高数、线代、大物和思政课等）,非公选课,刘珺,讲课好，给分最好，期末捞捞捞,会微信签到，上机时布置作业，都是课后习题,闭卷，年级统一出题统一考,85
高数,公共课（高数、线代、大物和思政课等）,非公选课,王涛,讲的好，还会进行复习，平时分也给的好,作业还可以，没有签到，没有提问，没有展示,70%考期末考试成绩，30%平时成绩,90
中国小说与社会,通识选修课（公选课）,中华文化与世界文明,xxx,老师超级好，好多满绩的,不怎么考勤，没什么作业,开卷考试，就两三个论述题，很简单，不听也会,90
线代A,公共课（高数、线代、大物和思政课等）,非公选课,陈一萍,我真的会谢，讲的一点用都没有,平时不咋查寝，平时作业有,期末考试还没出来，别学他,70
中级宏微观经济学,专业课程,非公选课,余静文,"讲两本书，一本是国际宏观经济学，一本书中级宏观经济学（Solow, Ramsey,OLG等）",期中考试，只考国际宏观经济学,期末考试，只考后半学期讲的,90
高级交际英语（快班）,英语课,非公选课,方妍,英语其实挺多老师要求都蛮多的，但是她给分真的好（快班里也算给分很好的）,每节课签到，每次课上超过一半的人会提问，每人至少一次pre，还会有超级多pair work，期末会查阅读教程3完成情况（要做完）。总结就是事多给分好（当然期末不能考太差课上千万不能摆烂）,成绩计算方法较为复杂,93
戏剧编剧,专业课程,非公选课,方志平,老师很拉........,花里胡哨的作业.....,演剧................,80
素质体育1,体育课,非公选课,赵继斌,老师很好 比较慈祥 很有耐心 大一统一学习太极拳,刚开始几次课有签到 后来就看心情签到了 期末考核就是看测试成绩,太极拳 引体向上 1000米 平时分 乐跑 一共五项,91
程序设计,专业课程,非公选课,唐敏,好银，大大滴好，不卡绩点还捞我,没有什么作业，都是自己课下学的,有老师自己安排的机考和试卷结课,90
智慧城市的建设与发展,通识选修课（公选课）,科学精神与生命关怀,陈悦华,主要讲授的是智慧城市各方面的概况，包括历史、建设过程等等，老师准备很认真,平时要签到，有提问且有可能按花名册点人，但是并不是很严格，平时作业是一次对校内建筑的建模，可以学到一个专业软件的使用方法,期末有一篇5000字结课论文,96
化工基础,专业课程,非公选课,李雪,和化学工程学相关的内容,几次点名 考试结课 有提问,考试考试。。。。。。。,90
模拟电子技术基础,专业课程,非公选课,王敏,老师人很好！讲的很好 期末重点画的准 给分也很好,有签到 作业少且不催交  没有大作业 ,只有期末考试和论文 考试认真复习了都能过,90
朝鲜半岛问题研究,通识选修课（公选课）,社会科学与现代社会,王佳佳,朝鲜半岛相关的问题吧啦吧啦,随机考勤可能3次，无平时作业，老师好,开卷考试可带电子设备,93
高级交际英语,英语课,非公选课,周欣迓,以课本教授和presentation为主，一学期每个人都要做一次pre,没有签到 提问会记名（可能加分）作业就是刷u校园,u校园分数?pre分数（小组均分）?期中考试?期末考试,90
无机化学A,专业课程,非公选课,程功臻,无机化学，老师讲课深入浅出,无签到提问小组展示论文，但是作业有点多,考试不低于55就可以捞,85
高等数学B1,公共课（高数、线代、大物和思政课等）,非公选课,王孝礼,还不错，期末前专门安排答疑,老师不签到，不提问，挺好的,期末占大头，有10％平时分,95
高等数学A1,公共课（高数、线代、大物和思政课等）,非公选课,湛少锋,就讲的高数内容，老师讲的可以，水平也很高，,平常讲完一节都有作业，要交，有一次期中考试，平常没啥作业,全校统一的期末考试，老师比较看中期末分，期末分高基本最后也很高，分地的话也会捞一捞,85
思修,公共课（高数、线代、大物和思政课等）,非公选课,黄代翠,老师讲的还行吧，就和其他老师差不多,有微视频展示，还有网课，不怎么签到，两三次,统一思修考试，按比例算的最后成绩，老师在微视频上可能会捞一下，也不是很捞，最后还被卡了，无语,89
体育,体育课,非公选课,崔德刚,太极拳 跑步 跳远等等 老师很好 很捞,签到点名 其他的没有,太极拳以及跑步仰卧起坐,91
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,尹万科,老师挺耐心的，就是有点PPT战神,时不时会有签到，每次都有作业,平时分占一点，考试占一点，然后作业占一点,97
自然科学经典导引,通识必修课（导引课）,非公选课,钟赛香,课前天天快答很消耗学生心智,天天快答是一种变相的签到,论文，但时会提前告知主题,85
羽毛球1,体育课,非公选课,张雨纯,发球，，，和接发高远球,会有几次点名，但是请假理由充分不扣分,学什么考什么，，，，，，，,90
形势与政策,公共课（高数、线代、大物和思政课等）,非公选课,李坡,两次课程，一次是关于中国文化，一次关于国家安全,有考勤，不去的话扣分会很重,结课论文，1200-2000字,91
辐射物理与防护,专业课程,非公选课,任峰,物院水专选强推，考前背一晚就能过,小概率签到，一次期中考试，其他没有,四次作业+期中期末闭卷考试,83
古希腊语,专业课程,非公选课,何元国,古希腊语字母、语法、课文、课后习题，前两三节课很痛苦，基本上是舌头抽筋脑子宕机的状态，但坚持下来就会发现也没有那么难。历史学院的同学慎选，感觉老师对历史学院的同学没什么耐心，一两个读音反复读错老师的脾气可能就上来了，但对其他学院的同学还是很和蔼的，非史院的同学当跨专还是很不错的。,因为人少，老师会排好座位，谁没去一目了然，不能翘课，可以请假。每次课后都有作业，包括课后习题和预习课文，但不多，一小时之内绝对可以完成；没有pre，但是会轮流读和翻译课文，一人一句，所以好好预习。开卷考试，就是翻译课文原句，一共25句，两小时时间，考得很简单，给分也很高。,开卷考试，题型为翻译课文原句,98
高等数学B1,公共课（高数、线代、大物和思政课等）,非公选课,李光汉,讲高数呗，武大自编那本,考勤一两次，都是挑人齐的时候点名,60期末40平时，一周交一次作业,99
素质体育,体育课,非公选课,蔺志华,不好。老师人不错但是分数太低，我可能是我们班唯一一个满绩的，真的尽力了。太极拳考试我考了两次，最后一次快跪给她了，勉强到85分。这个老师85分已经算太极拳不错的分数了，挺歹毒的。有大量每节课都去最后总分60多70多的。,平时有签到，一直打太极拳，反正不是很好逃课。结课的主观部分是太极拳,打段太极。没法看同学的，她会发现。,90
电路综合实验,专业课程,非公选课,李玲，孔峰等等不知道是谁,做电路实验和仿真实验,写实验报告，每次都有考勤,平时从来不反馈实验报告写的怎么样，从来不给我机会改，也不知道老师到底改实验报告没有，反正最后给这个垃圾分，到底哪个sb老师给的分,84
spss,公共课（高数、线代、大物和思政课等）,非公选课,杨先娣,主要讲解spss的使用方法，难度小,每次课都有签到，有作业,上机考试，和平时操作一样,90
地图历史与文化,通识选修课（公选课）,中华文化与世界文明,李连营,讲的挺细致的，对地图历史有兴趣的同学可以选,平时三篇小课堂感受，期末一篇大论文，无签到，小组展示全凭自愿，展示成果可代替平时三篇课堂感受,论文考核，感觉还行吧,90
建筑装饰漫谈,通识选修课（公选课）,科学精神与生命关怀,吴定燕,建筑、设计相关知识，每节课都要到但是除了作业或者考试要求外不用听课,每节课都有签到，从不提问，会有小组展示（一次插花+一次调研），事情有一点点多，论文结课,论文（800字以上），内容比较水，不用听课,92
微观经济学,专业课程,非公选课,余景升,挺好的，老师很有趣，很友好，而且划重点！,不考勤，每节课后一两道题，题很简单,期末考试，还有交作业情况,90
自然科学经典导引,通识必修课（导引课）,非公选课,汪海洪,和其他自科一样，老师是个雷，一点不会捞，有的同学认认真真一学期还会被卡绩，给八十多，小班讨论课也是闹腾学生，又是做PPT又是辩论，印象很不好,几次课前小测，一篇期中一篇期末论文，要求还贼多,论文，要求还挺严，要是想水一水，怕是拿不了多好的成绩，期中期末平时都好好准备，才刚过九十,90
课程,通识选修课（公选课）,中华文化与世界文明,南宁市,专家教授叫姐姐斤斤计较,俗话说不后悔把别别扭扭,登记结算数据收集姐姐斤斤计较,98
生物医学数据科学导论,专业课程,非公选课,龚龑,一些基因，数据库相关知识,每节课都会有签到，偶尔提问,结课综述一份正文两页A4左右,90
高等数学C1,公共课（高数、线代、大物和思政课等）,非公选课,羿旭明,很好的，讲课细心认真，学生问题有问必答,无签到无提问，以老师讲授为主,期末考试，无期中考试，平时作业助教会改并打分，有时候羿老师也会改作业,100
创新思维,通识选修课（公选课）,中华文化与世界文明,谢皓,讲授知识，老师人很好，给分好,不签到，有一次小组展示,论文结课，老师留题目，很好,91
军事理论,公共课（高数、线代、大物和思政课等）,非公选课,何华,好老师，不卡人！！！！！！！！！！！！！真好的老师！！！！！,好，好！非常的舒服的上课！！！,"闭卷考试！！！！！！！！！！！！！！！
",90
实验室安全哲学与应急实践,通识选修课（公选课）,科学精神与生命关怀,翟显，廖冬梅,实验室安全以及应急处理，非常推荐去听,极偶尔有提问，无平时作业,方式很多，结课论文（写一下实验室安全相关）等，甚至是实验室安全相关情景剧都可,98
数据素养与数据利用,通识选修课（公选课）,社会科学与现代社会,刘霞 张宁,不建议大一上的同学报名，报名了也别把他随便应付，老师是不错但是分也不是随便给的，只要是想去混的就完了，别问我怎么知道的,只有提问和课后作业，事多课后作业占时间,数据分析报告麻烦要是几个大一组队的话建议你们别玩了,89
舞台表演与艺术体验,通识选修课（公选课）,艺术体验与审美鉴赏,王珊,社恐的最好拉上朋友一起，需要表演展示,1000字学习心得体会+结课表演,论文+表演，可能会遇到需要多次更改节目的情况z,90
智慧城市,通识选修课（公选课）,科学精神与生命关怀,任福 眭海刚 蔡忠亮,老师很好很幽默，也很有水平 可以开拓视野滴,不点名 平时没任务很轻松,做10道题，课下做，时间很长，内容与课程相关,91
简明中国史,通识选修课（公选课）,中华文化与世界文明,魏老师,简单通俗易懂有趣的灵魂,无呜呜呜呜呜呜呜呜呜呜呜,慕课二三十考试开卷七八十,90
简明中国史,通识选修课（公选课）,中华文化与世界文明,魏老师,简单通俗易懂有趣的灵魂,无呜呜呜呜呜呜呜呜呜呜呜,慕课二三十考试开卷七八十,90
11111,专业课程,非公选课,1111,1.11111E+11,1.11111E+12,1.11111E+16,111
识读美国,通识选修课（公选课）,中华文化与世界文明,祝捷,这门课相当于英语课但老师超级好给分很高,一次展示一次作业结课1000字英语论文,1000字英语论文，题目自定，跟美国有关就行,94
植物世界,通识选修课（公选课）,科学精神与生命关怀,汪小凡,校园植物游园识别，慕课加小测，一周线上一周线下。老师特别负责，学识渊博，人很好,线上作业看课完成小测，线下课后一天半内上交五种定种植物照片ppt转pdf。使用生命观察app。,采集标本！去情人坡集体采集，分一个小队，剪剪挖挖特别好玩，我采的爵床,95
概率论与数理统计C,公共课（高数、线代、大物和思政课等）,非公选课,刘艳,老师很有激情，但是重点不太明确，最后狠狠捞,每次课有作业，随机点名,闭卷考试，老师人很好狠狠捞,94
高等数学B上,公共课（高数、线代、大物和思政课等）,非公选课,李驭繁,数学数学数学数学数学,每周两次作业 无签到 可玩手机,考试 闭卷 占比四六开,91
思想道德与法治,公共课（高数、线代、大物和思政课等）,非公选课,李顺彦,老师讲课挺认真生动的，但是听的人很少，给分好,每节课都有签到，加平时分的机会很多，每节课都有很多问题回答，最后几节课会点名抽查,期末考试，出勤率，微视频，回答问题的次数可能影响了平时分？但是感觉老师给分还挺好的,92
健身与塑型,体育课,非公选课,余俊明,课是好课，干货很多，就是每次课都很累。期末考坐位体前屈、仰卧起坐、仰卧举腿和八百米，这几项不好的话建议不选。给分挺好的,每次课都会点名，其他没什么,考试，八百米和坐位体前屈的比重较大,87
创意艺术手绘,通识选修课（公选课）,艺术体验与审美鉴赏,杨青,老师主要指导我们绘画，教授我们享受美学和生活,签到偶尔几次吧，很轻松,把自己的学期作品以三分钟视频呈现,93
中国哲学智慧,通识选修课（公选课）,中华文化与世界文明,廖璨璨,廖老师讲课很生动很有意思，能把哲学智慧融汇在讲解语句中,考勤比较松，平时不点名，没有小组展示，有期中作业和期末作业都是论文,论文结课或者是哲学展板,92
艺术鉴赏与批评导引,通识选修课（公选课）,艺术体验与审美鉴赏,王杰红,老师人很好！！经常放电影！也没有签到点名！很有趣！给分超好！,平常没有点名没有签到 课程自由度高 没有小组展示、论文或大作业,写一篇读书笔记或写一篇艺术论文（无字数要求）或交一副艺术作品。三选一,92
素质体育1,体育课,非公选课,蔺志华,老师人很好，就是分普遍不高（老师专业打太极的）,考勤有要求，会不定时点名，会有除课堂以外的活动,太极，体测，乐跑就是平时这些,85
线性代数A,公共课（高数、线代、大物和思政课等）,非公选课,王涛,老师人很不错，心态比较年轻，讲课还行，给分没话说，其他老师都说给分高于卷面分，他是真高于的。,不签到，比较宽容，作业大概两周布置一次，还行。,统一考试，反正肯定比卷面分高。,100
性传播疾病与青春期健康,通识选修课（公选课）,科学精神与生命关怀,熊海蓉 刘媛媛 李柯,老师负责 给分不错 可以学到一些东西,节节课有签到 平时没作业 ,论文节课+一个小组展示 论文40%貌似,91
中国哲学智慧,通识选修课（公选课）,中华文化与世界文明,廖璨璨,老师人很温柔，不查到，期中期末各一篇论文,不考勤，提问比较自由，不回答问题也有可能满绩,三千字论文结课，没有其他展示,90
高等数学B,公共课（高数、线代、大物和思政课等）,非公选课,汪春晖,老师上课可能容易听睡着 但是给分不错,基本上没签到 只有每周交一次作业,只有期末考试加平时作业,85
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江伯安,讲一些比较基础的乐理知识，上课会和学生互动，但是不允许玩手机,每节课都有小测，还有慕课刷，考勤挺严格的，但是小测可以互相交流，比较松,课上小测，慕课，期末考试,94
恋爱必修课,通识选修课（公选课）,科学精神与生命关怀,李爱斌,老师偶尔会有一些迷惑发言，但是还好她上课的次数不多，但是期末给分很随意，还卡绩，本来说好的平时作业完成会给到90+，结果我都完成了，签到也都到了，只有89，有点恶心了,无平时作业，签到不到期末成绩扣一分,恋爱课心得1000字,89
环境与人类,通识选修课（公选课）,科学精神与生命关怀,施晓文,由许多资环学院的老师上课，可以学到挺多东西的,无签到，考试，平时论文，提问,2000字论文和两次实践活动（在课程最后两周）,91
伦理学,通识选修课（公选课）,中华文化与世界文明,李勇,讲了几个伦理学的问题，比如电车难题、代孕等；能学到东西，发人深省，但确实不算水,每节课都会抽人回答问题，尤其爱点法学和医学的，互动很多,期中期末各一次作业，阅读一段英文文献，用中文回答几个问题，需要花一些时间,92
城市生活与都市病,通识选修课（公选课）,科学精神与生命关怀,王老师,老师比较真诚，会讲到一些都市病，也会有人生道理,有签到5次 有提问随机叫人,论文结课（要求比较多，但是不差重复率 会给范文,93
素质体育,体育课,非公选课,胡剑波,打太极拳，偶尔小练一下体能。老师和给分都特别好！有时候还会提前下课,每节课前会点名，最好别翘,体测占一部分，乐跑占一部分，期末的话考太极拳?男生引体向上/俯卧撑和女生仰卧起坐,93
高等数学A1,公共课（高数、线代、大物和思政课等）,非公选课,黄正华,老师人很好，讲的很清楚,没有签到，作业不多，有组织的期中考试,考试，平时分给的都还很可以,90
高等数学E,公共课（高数、线代、大物和思政课等）,非公选课,朱朗峰,主要按书讲的 学生面向医学生,偶尔点名，没到的话扣一分。上课没有提问，有平时作业。,一般平时作业40% 期末考试60%,95
程序设计（A）（C）,专业课程,非公选课,梅天灿,...雷！！雷！啥也没学到！给分不好！雷！坑还卡绩！很生气,有电子签到！不过平常作业还好,平时成绩加上期末成绩！给分不好！避雷！,84
发展经济学与中国经济发展,通识选修课（公选课）,社会科学与现代社会,李酣,主要就讲经济方面的内容。会请不同的老师来讲，有些内容挺有意思的，也能学到一些东西，拓展自己的知识面。,随机签到。没有提问，课堂比较自由，甚至可以随时提问老师，无小组展示，平时很轻松，你不想听老师也不会说什么。,开卷考。老师出几道选择题、判断题、简答题。可以上网查资料，比较轻松。,90
程序设计D,专业课程,非公选课,傅佑铭,雷中雷，上课摆烂下课装死，同学辛辛苦苦写的大作业不看，并对其随意给分且分数极低，周围所有上他的课的人都后悔了，表示屁都没学到还没得分，当然如果想训练自己的自学能力倒是可以选他，虽然不会有多少分就是了,有签到，无提问，上课给你一种可以摆烂的感觉，但是会在期末放假后来收所有作业背刺你,考核方式与其他老师相同,78
大学交际英语,英语课,非公选课,余诗龙,好难过，啥都认认真真做了，问题都尽量回答，真的难过，最后89。,超喜欢请人回答问题，小组作业每个人都要上。,统一的考试，题型类似四级,89
大学生职业规划,通识选修课（公选课）,社会科学与现代社会,冯丹,由本学院各年级辅导员代上，内容对于大一新生了解本专业就业与规划很有用，给分很好，上课也可以摸鱼,基本不记考勤，但有时间会留作业,2000字的职业规划报告,96
思想道德与法治,公共课（高数、线代、大物和思政课等）,非公选课,高倩,按教材 PPT 大家都在水,有随机签到 随机提问 小组视频展示 辩论赛 无作业 慕课要刷,慕课 平时分 期末 视频展示,93
考古与人类文明进程,通识选修课（公选课）,中华文化与世界文明,李涛…,有的老师讲课比较风趣并且有意义，但有的老师就比较摆烂,没有签到，几乎没有提问，没有小组展示，没有考试，作业就是两篇读书笔记（每篇要求2000字以上）,两篇读书笔记（每篇要求2000字以上）,85
鲁迅名篇赏析,通识选修课（公选课）,中华文化与世界文明,余蔷薇,主要是赏析一些鲁迅的作品，基本上中学阶段都读过，老师的观点也都很有新意，值得一听，课很有意思，会放电影，感觉老师会捞,有提问，会要求课前阅读当堂要讲的作品，会有一次小组pre,今年是开卷考试，但具体听老师安排,92
高等数学c,公共课（高数、线代、大物和思政课等）,非公选课,李姗娜,非常好，好得无法形容，老师超级耐心温柔,无考勤，作业很少，每次只有几道题,期末考试，老师给平时分非常好,98
高等数学A1,公共课（高数、线代、大物和思政课等）,非公选课,周小方,老师人很好，知识点讲得很细，而且自己写了教案。会捞人,"有签到，但不多
无期中考试",期末考60%+平时分40%,82
植物世界,通识选修课（公选课）,科学精神与生命关怀,汪小凡,游武大校园，讲植物。老师人真的特别特别特别特别好，但是这门课我不是很感兴趣，也没有好好上，觉得线上自测比较难，最后得分也不太好。不适合水。,平时周末会游园，需要体力比较好，不然会很累。每次游园完了之后要提交作业，任务较重。没有签到，没有提问，没有小组展示，会有线上课程和线上自测，自测比较难，而且老师说下一次课程还会提升自测难度。想水一水的我劝你退退退。,平时成绩按百分比算。没有期末考试。,83
程序设计D,专业课程,非公选课,高戈,老师自己讲课水平挺一般的，主要靠B站＋看书自学，但是给分不错,上课刷脸，实验课点名，提问不多，一次大作业＋小组展示答辩＋报告（人均1500＋行代码），每章上完都有课后习题（练习册有习题答案）,平日＋大作业＋期末考试，比例由老师自定,89
大学交际英语3,公共课（高数、线代、大物和思政课等）,非公选课,杨晓强,神神神神神神神神神神神,班级都一样，视听说，期中等,线下纸面考试，内容难度和高中差不多,90
神奇的人体免疫,通识选修课（公选课）,科学精神与生命关怀,罗凤玲,"围绕免疫展开的一系列基础医学及生物学知识，每堂课会请不同的专业教授进行授课。结课时老师会制作小礼品送给大家。
没有额外课业压力，很水，强推。",每节课课前扫码签到，除此之外没有考勤。没有平时作业和课堂提问。,"一份个人作业（形式不限，海报、手绘、写诗），只要不过于敷衍给分都很高。
一份小组作业（配音、科普视频等等），自由组队，可以整活，给分基本都很高。",93
简牍与秦汉文化,通识选修课（公选课）,中华文化与世界文明,黄浩波,老师比较有趣，上课内容也挺好的,老师会挑人少的时候点名，没有平时作业，最后会有一次ppt展示作为结课作业,ppt展示+1500字论文，介绍家乡习俗,93
自然地理学,专业课程,非公选课,郑永宏,知识是高中地理的进一步扩充，高中学过地理就会很省事，感觉是面向没有学过地理的理科生开设的,上课以提问的形式抽查考勤，作业会有一次ppt展示以及一份实验报告，对最后分数影响很大,闭卷考试（虽然划范围，但是可以找往年卷）,95
元素营养与健康,通识选修课（公选课）,科学精神与生命关怀,李柯,很有趣，柯柯老师超级好,学习通位置签到，没有平时作业，也不会提问,小组展示，10多个人一组，很轻松,96
大学生心理健康,公共课（高数、线代、大物和思政课等）,非公选课,尉兆梁,PPT 课本 老师很好 告诉你什么时间签到,签到 平时分 平时论文 无小组 无提问,开卷考试 平时分 签到,91
工程制图1,公共课（高数、线代、大物和思政课等）,非公选课,吴昊,老师人很温和，讲课稍微有点意识流（个人认为工程制图是一门有一定难度的课，需要自己预习和多揣摩才能跟上老师的节奏）,没有签到等其他任务（事比较少），老师讲课过程中会偶尔面向大家提问（大家一般一起答），课后作业以qq群任务的形式提交，并且老师会批改每节课的作业并选出优秀作业（作业必须完成，不然影响平时分）,学校统一给试卷考试，应该是两个小时，统一阅卷,92
中国精神导引,通识必修课（导引课）,非公选课,李海燕,讲书上的内容，比较普通，老师很慈祥，但是给分比较严，论文和小测得分都不高，小组展示得分也一般,每节课签到＋论文＋小测＋一次小组展示,每节课签到＋小测＋一次小组展示＋期末论文,85
线性代数,公共课（高数、线代、大物和思政课等）,非公选课,王涛,老师讲得很好！按麻省理工教授的思路讲，很清晰！而且会尽全力捞！,不签到不提问收作业（几周一次）,根据要求进行期末考试,100
政治经济学,专业课程,非公选课,杨艳琳,老师口音很重，听起来有点吃力。。,有几次课堂小作业当作考勤平时分（可翻书，无展示无大作业,统一考试，，，，，，,80
智慧城市,通识选修课（公选课）,科学精神与生命关怀,任福,主要讲与城市有关的现代科技，上课会经常看视频，老师比较幽默，老师给分挺好，课也挺水的,无签到  无平时作业,开卷考试，自选十道题回答，字数不限,97
素质体育1,体育课,非公选课,任怡霏,老师人非常好，年轻有活力，对学生有耐心，能打成一片，给分也好，会关心学生,全校统一，但是平时分正常去基本给满。有两三次签到。,全校统一，不划水的话老师打分很好,95
微观经济学,专业课程,非公选课,逄金栋,平狄克经济学教材 PPT,平时作业 无提问 无小组,闭卷考 期中考 平时作业,92
微观经济学,专业课程,非公选课,苏小方,老师讲得还行，就是抓的不是很严然后特别喜欢搞小组讨论,无考勤无作业     但有小组展示很烦,"年级统一闭卷考，无其他要求 
",86
线性代数A,公共课（高数、线代、大物和思政课等）,非公选课,张晓平,线代内容 不按课本来按PPT但老师讲的特别好 有适当补充 ,无考勤 作业不多且批改认真,期末考试 （老师很能捞）,94
政治经济学,专业课程,非公选课,刘峻,马工程书 老师会讲故事 课讲的很好,平时作业 有一次点名 两次作业,闭卷考试 平时分 今年挺捞 可能考得太难,92
民法一：总论,专业课程,非公选课,张素华、孟勤国,讲得挺好，但是给分巨雷，直接拿期末纸面成绩当最终成绩，一点不捞,没有平时作业，没点名,期末考试结课，学院统一,80
管理学,专业课程,非公选课,龚丽敏,老师讲课很有趣呀，既松弛又风风火火的性格，喜欢，给分也很好,有点名，提问少，事少,统一考试，，，，，，，,95
程序设计d,专业课程,非公选课,高戈,讲的烂 准备自学 但是事儿少，不点名不签到，实验课写大作业，实验作业课下提交，大作业交的比其他老师早将近一个月，给分还行,不点名，不签到，有大作业,考试结课111111,0
高等数学B1,公共课（高数、线代、大物和思政课等）,非公选课,李大美,老师讲课有意思 讲的也还行 期末的时候如果时间多余会给我们讲一讲卷子 但是老师有点口音,没有考勤 没有提问 总之除了作业啥都没有 作业还有答案 而且你交不交都不影响打分,期末闭卷考60% 平时（但是我感觉基本都是满的）40%,97
大学交际英语3,英语课,非公选课,江景,老师非常慈祥，鼓励学生自主思考，挨个纠正学生发音，强调上课重点。考试前会带学生过重点并专门练习，会给ppt，给课文和阅读教程翻译。完成每周口语作业有额外加分并有机会期末口语免考！平时分会狠狠捞！,一两次考勤，一次小组展示，上课有听力小测（来自大英小课每周指定一个单元），完成清华社英语，每周口语作业选做（很简单且做了有额外加分）。,按照全校统一要求来考核,86
