课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
圣经导读,邹小娟,讲圣经的内容,雷，慎选,结课考试,
圣经选读,邹小娟,选读相关知识背景文化,老师有学识，我学到了很多,开卷，填空，问答，解答,
信号与系统,邹练,信号与系统知识，懂得都懂,这个老师还行，只能说是一个备选,一般不签到，闭卷考试,
组合数学,邹华,排列组合，polya定理这些离散知识,知识挺难的，值得探索，但是期末很友好,不点名，期末闭卷，但是考的很简单,
时间序列分析,庄额嘉,金融数据分析，arima模型与garch模型等,金融学专业课，适合经管学生选修,不点名，有作业，有期中和期末,
软件技术基础,祝圆圆,"html基础 java基础 python很浅的一点概念
用的是很古老的卡内基梅隆大学的ssd1",感觉没有计算机基础人很难学，教材是英文的上手很难，计院大一上自动导入的课，有些人都中途退课来着。,期末全英文试卷70 平时分10（考勤为主应该是）实验课30（不同老师不太一样，我们应该是用三次quiz算的实验课成绩，quiz都是以前有的题，消息灵通的话可以找到电子版写quiz时对着抄hhh）,
商务智能,祝圆圆,讲用机器学习进行数据分析的一些知识，有点硬核，但只有两次平时作业和课程报告,有编程基础的话这课挺水的，给分也不错,课程报告,
批判性思维与修辞美学,朱莉莉,逻辑学与美学，如逻辑悖论、逻辑谬误、三段论、真与美的关系等,很好，朱老师讲得也很好，有利于学生拓宽知识面和锻炼批判性思维,点了一次名，平时小组合作展示一次，期末当场写文章，文体不限,
生死教育,朱康勇,老师全程和大家分享关于生命和死亡的科学知识、学术观点、价值观念等方面的内容，以老师PPT讲课为主，内容都很好懂,值得推荐！老师的讲述很有意思，可以给对比较迷茫的同学们一些启发，老师作为学校领导也经常会分享一些故事。,不点名，但上课有时候会随机点名让同学回答问题，课程中期和结课各需要写一篇论文，没有平时作业和考试，给分介于85-90左右吧,
生死教育,朱俊勇,知识硬核，无教材需要，讲解风趣生动,强烈安利，老师上课风趣幽默，课程内容让人有收获,平时ppt 结课1000字推文,
生死教育,朱俊勇,课程会讲授与生命死亡相关话题，内容是非常充实有趣的，会引发我们对于生命的深层次的思考！,非常好！一定要选！！！,"平时作业:做一个ppt
结课作业:1000字论文（1个月时间）",
性与健康,朱俊勇,有硬性知识但很有趣，科普为主,还可以，老师讲课很有趣。期末认真完成的论文打了89分，好在有慕课平时分，最终成绩是91,慕课，点名，期末一千字论文,
生死教育,朱俊勇,生死观；人生经历；打鸡血,推荐大一学生选，专业性不强，正好教会比较迷茫的新生们在大学期间应该怎么样,有点名；期末写一千字推文,
生死教育,朱俊勇,生死文化与生死启迪，感悟生死,论文结课，形式是公众号推文，1000字以上，需要声色结合图文并茂，总体给分挺高的，上课的内容也很有趣，推荐！,偶尔会点同学起来发言,
生死教育,朱俊勇,有关生死的一些看法，事例，价值观,蛮水，老师给分大多数都是3.7,不需要，平时会点名，最后交论文。,
生死教育,朱俊勇,珍惜生命，生命的意义，死亡是什么样的balabala,对生活很迷茫的孩子可以选一选，或者有点抑郁倾向的都可以听一听，老师讲的真的很好,没有签到但是上课会随机点人回答问题，平时作业很简单，给几个问题写写就行。结课是写推文，也蛮简单的比写论文好玩，可以自己配图片或者拍视频。我做了视频配了图得了90+。,
生死教育,朱俊勇,生与死有关的教育 树立正确生死观,很好很喜欢 老师讲的很好 给分很高,点名回答问题 不一定每节课都点,
生死教育,朱俊勇,生与死的问题探讨，各国的生死教育,对生死看的更开了，老师教课很有意思,偶尔点名 一次PPT制作加结课论文,
生死教育,朱俊勇,有关生死的一些看法，事例，价值观,蛮水，老师给分大多数都是3.7,不需要，平时会点名，最后交论文。,
性与健康,朱俊勇,男女健康知识（一些十八禁？）,不错的！推荐去上,点名。期末就是做慕课，写推文，很简单,
性与健康,朱俊勇,性的相关知识，如性道德啥的,老师讲课很有意思，内容也很让人茅塞顿开。,偶尔点名，无平时作业，期末是写一篇有主题的推文,
性与健康,朱俊勇,性相关的知识，同性恋啊，性取向啊，性病啊等等等等，都很有趣，老师也很有趣,老师很不错，课程很有趣大部分85左右,会填问卷调查，基本上每节课都有没选上课的同学旁听，平时没有作业，期末写一篇推文，很容易80分以上,
性与健康,朱俊勇,从性医学的角度对大学生进行性健康教育,老师非常好，上课很有趣,有点名，平常上课很有趣，老师很幽默,
识读美国,祝捷,美国历史，同时每节课有阅读一篇文章,老师人很好 给分也不错 喜欢的话也能学到不少,基本不签到 平时有一两篇小作文 期末为英语论文,
识读美国,祝捷,大概是以几部法律文件（如五月花公约、独立宣言等）为线索讲解美国历史,老师虽然是全英授课，但基本能听懂，课程内容有点无聊。但是总体而言事不算多，给分也不错。,偶尔会点名，平时有一次个人pre，期末是小组pre和全英论文,
识读美国,祝捷,美国社会的历史文化、建国历史等，双语授课,祝老师人真的非常好！很优雅！最后一节还给大家买了零食！给分也很好！冲！,不点名 期末英语论文1000词就可以,
微机原理与接口技术,朱劼,微机原理与接口技术的基本内容,老师一般 课程也比较过时 但是学到不少东西,随机点名 平时分很不友好（根据你作业提交早晚 课堂是不是积极回答问题）但期末捞人还行,
史学概论,朱海,历史哲学与外国汉学相关,老师人很好很通透，上课水水的,一次点名，会提前通知，两篇论文期末开卷考试,
史学概论,朱海,看纪录片为主，老师会有PPT,作为跨专挺不错的，考试也是考三观,点一次名，两篇平时作业，开卷考试,
伟大抗疫精神,朱国伟老师,看Mooc就好了，没有教材,超好！足不出户的课不香吗？最后给也不错,不用点名，因为是纯纯的线上课,
伟大的抗疫精神,朱国伟,只用刷视频就可以啦 ，超简单,只用刷视频就可以啦 ，超简单,只用刷视频就可以啦 ，超简单,
伟大抗疫精神,朱国伟,全部慕课 学习抗疫精神 b站都有,很好拿分，不用太多时间,慕课 线上学习，做题和考试,
伟大抗疫精神,朱国伟,抗疫精神相关内容，新时代中国精神,选的时候是中华文化类，期末变成了社会科学,线上上课，平时刷网课，期末选择题学习通考试,
伟大抗疫精神,朱国伟,主要涉及有关中国在抗击新冠疫情的经验收获和总结出的精神内涵,通过这门课，我了解到了中国人民在抗击疫情中体现出的精神，值得我们学习。,不进行签到和点名。全部为线上形式，平时每周只需学习慕课并参与线上讨论，期末考核也是线上考试。,
伟大抗疫精神,朱国伟,抗疫相关，完全是线上授课,非常好，十分推荐，摸鱼必选,每周做完小测试听完课，期末有线上考试，题目答案在B站都能查的到,
伟大抗疫精神,朱国伟,刷网课上的视频和题目,给分很好，强推！不过学分只有一分,网课考试，每章有测试题，讨论题也要答完,
人体解剖学,朱从丽,还没上过，新生在此致歉,暂时无法评价，下学期再来,不清楚诶，因为还没上呢,
英语经典文学导读,朱宾忠,英文诗歌 古英文史诗 短篇小说,能学到挺多文学知识，考试难度还好,要签到，要求十次举手答问，期末考试,
美的历程,周祝红,西方美学史，讲西方美学的发展变化,老师人很温柔的，给分偏低,平时不签到，但会有两次开卷考试，还有三千字的论文，还要小组合作进行展示,
数学分析,周小方,课本内容加上老师自己补充的内容,老师课讲的很好，而且会用周末时间给大家答疑,期中15%，作业25%，期末60%,
数学分析（三）,周小方,华东师大的数分教材第五版，数院的专必,好好好！老师很细心很负责！真的无脑选就对了,emmm期末考试占百分之六十吧,
微积分,周小方,高等数学,老师手写讲义上课，讲的很清楚，很负责,期末7期中2平时1,
数学分析,周小方,数学分析知识 数学理论知识,数学的基础 老师特别好,考试结课 很难有很好的成绩,
理论力学,周详,戈登斯坦经典力学前九章（相对论部分时间不够可能不会讲），课程比较硬核，老师讲课很多段子，但是很多细节讲不太好，多为自学,虽然最好避雷，但是物院也没有其他选择…,平时签到较多，有期中考试，平时作业手机提交，有一定难度。,
中国文学,周茂君,讲历史，讲关于中国文学的历史,选的时候是中华文化类，期末变成了社会科学,考试加平时作业，作业比较多,
职业规划与创新,周力虹,请很多行业大咖 讲座形式,新开的还没上过 应该不错,有实践，期末论文,
遥感影像和生活,周军其,遥感与生活，PPT展示讲解,给分一般，82，算没卡绩？,没签到，期末论文结课,
数学物理方法,周国全,姚端正的书籍，讲解课本上的内容。,很好，最好的数物老师，讲的很清晰，很有体系，好好学肯定能学好,平时作业，期中期末考试,
普通物理二,周国全,讲授相关内容电磁学。。。,很好很好很好很好很好很好,不点名，每节课留有作业，有期末考试。,
新闻作品评析,周呈思,一些评论作品赏析，两次课程作业，一次期末作业都在1k字左右,周老师人帅心善 强推,论文结课,
基因工程,郑忠亮,基因工程中的载体和酶、常规技术，转基因动植物，蛋白质工程简介，基因工程疫苗、基因诊断、基因治疗,避雷这门课！ppt是四处复制粘贴来的，逻辑混乱，甚至有前后矛盾，上课大部分时间在读ppt，上完了都不知道学了些什么。基因工程建议选其他老师的课，听说李立家老师不错。,平时分30%，期末分70%，没有硬性作业。前13节课没有考勤，最后三节突然想起来要考勤就正好三次每次十分，但是貌似因为第十四节课考勤数据丢了就变成最后两次考勤一次15分，非常不靠谱的样子，且此前没有给分数据。,
大数据与信息社会,赵一鸣等,主要讲大数据在现在生活中的一些应用还有大数据的思维方式，怎么运用大数据，还会请一些企业家来讲讲创业、数据可视化之类的东西，比较硬核，不过偏科普方向。教材倒是没有，不过老师会推荐一些和大数据有关的文章让我们去读。,挺好的，非常不错的一门核心通识课。,平时分好像是占了40%？记不太清了。没有作业，有课堂展示，不过是个人意愿，可以做可以不做，期末考核是写一篇2000字左右的论文。,
大数据与信息社会,赵一鸣,主要讲解很多大数据相关的知识，上课很有趣，有专门的公众号,总体非常不错，但最后的论文如果只水的话不一定能90+，85+一般都是有的,平时有两次考勤，考勤前会提前说，有一次考勤去了加分，期末是论文结课，有个课程展示,
用户体验设计,赵杨、翁子扬,用户体验设计,超级无敌大水课，平常作业就画了一个很简单的用户体验地图，期末开卷考试，给分好像还不错。总之就是很水，带创字,开卷考试,
用户体验设计,赵杨,还不大清楚，因为我还没有上，只是听说学长姐和同学推荐的好课,3个学分，带创，哈哈,我目前只知道老师人很好，会捞孩子，公选课的时候是开卷提前说题目，但专选可能会变，也许，我不大清楚,
诺贝尔文学导读,赵小琪老师,关于诺贝尔文学的内容（有书）,非常需要好好阅读文本并且有自己的理解,不考勤，没有平时作业，最后有一个讨论课的展示环节（加分）。开卷考试（可以携带电子产品）写作文，题目课上给（三选一）,
诺贝尔文学奖作品导读,赵小琪,主要讲了《群芳亭》《雪国》《老人与海》，其余多为线上课程。教材为赵老师主编的配套书，统一组织定购，自愿购买并不重要,赵老师讲的很不错，但线上课程过多，不能线下聆听实属遗憾。期间找过一位女老师代课一次，讲的极其烂。总体上非常安利,平时无考勤，无作业，期末考试为当堂两小时在所给三个选题中择其一写一篇论文。选题围绕《雪国》、《红高粱》、《老人与海》等作品,
诺贝尔文学奖作品导读,赵小琪,以诺贝尔文学奖作品为中心，一次课一本书的大概介绍。线下课与线上课相结合，由于本学期的假期安排导致线下课只有五六节。使用的教材是老师们自己编的《诺贝尔文学奖作品导读》，可以不用，因为不是很能用得上。,主要是对一些诺贝尔文学奖作品的阅读，因此，不建议不是很爱阅读的同学选这门课。老师讲得很好，一次课能大概介绍一下某本书和其作品。课后还是要主动看书啦，如果把这门课作为启发阅读的开始也很不错。倒数第二次课是一次当堂分享，就是对于课上某一部作品本身，是否有可以改动的内容。如果发言并言之有理，最后的分数上会加三到五分。,线上MOOC和线上期末选择题与判断题考核，最后一节课是现场论文写作，会给出三个题目，选择其一。这些题目建立在对课程所讲作品都读过并有一定了解的基础上，开卷写作。,
世界华文文学经典欣赏,赵小琪,《芳华》《撒哈拉的故事》《生活的艺术》《笑傲江湖》等等华文作品，还挺有意思的,还不错，安利。考试前一定把书挑着读一读,倒数第二节课是展示（选择性的，个人，内容和课上讲的有关，可以在总成绩上加三到五分）。最后一节课随堂考试，写一篇论文，题目四选一,
诺贝尔文学奖作品导读,赵小琪,导读几本获得诺贝尔文学奖的作品,老师上课很有意思！给分也不错,不签到 最后随堂写一篇文章,
诺贝尔文学作品导读,赵小琪,诺贝尔文学作品讲解，都是外国名著，很少看过,讲得好，给分还可以，老师很慈祥,不签到不点名，有展示但不强制，期末论文结课,
近代史,赵天鹭,中国自1840年以来的历史，习那一章好像没怎么考，但是渗透到其他内容里了,老师很擅长素质教育，为人也很豁达，不古板,没有签到，没有平时作业，期末闭卷，老师狠捞,
近代史纲要,赵天鹭,主要是近代史相关内容,老师人很好，海底捞人,不点名，不签到，平时作业是一次小组展示和一个口述史作业，期末闭卷,
逻辑与批判性思维,赵士发,上课水，可以不听讲，但可能签到,无，要90+需要认真对待吧，反正我是挺认真的，给了90,中期有读书报告论文，最后有讨论会和演讲稿，结课以论文考试,
逻辑与批判性思维,赵士发,批判性思维的内容和方法等,事多给分一般，而且老师讲的…有某些较为明显的错误…但整体还算比较实用吧,偶尔签到或小组讨论，平时自愿展示，读书报告或者作业作为大作业，期末随堂考试,
知识管理,赵蓉英,一些知识管理的内容，上课比较水,很水哈哈哈，给分也不错,有一两次点名，会提前说，开卷考试，提前给题,
新时代中国特色大国外交与国际关系,赵嵘,不硬核，无教材,很好,课下结课论文,
新时代中国特色大国外交,赵嵘,新时代中国特色大国外交,非常好，给分很高，而且学到很多东西,没有签到点名，小组作业+论文,
新时代中国特色大国外交与国际关系,赵嵘,主要讲授中国与周边国家或与大国外交的特点和国际关系,这门课给分挺好的，主动报名小组组长期末会有加分，而且上课能学到很多,不进行签到和点名，有一次小组的作业，内容是完成一个研究报告，期末是结课论文，3000字,
新时代中国特色大国外交与国际关系,赵嵘,主要是一些中国外交的历史,课很水但给分特别好，事还少,论文结课，平时不点名，期中1000字小论文,
新时代中国特色大国外交与国际关系,赵嵘,新时代中国特色大国外交与国际关系,给分超级好 快点选哇,不点名 不签到 一个pre 论文,
宏观经济学,赵奇伟,曼昆教材，老师上课讲的特别清楚，水平很高,强推！老师给分其实很好，好像是之前带过重修的班级所以显示的给分才比较低,平时有一个小组读书报告推送，没有考勤,
圣经解释学,赵盼,讲圣经的内容和解读,非常好，老师上课有热情，内容清晰有趣，不点名，老师人也好好,期中作业（可做可不做，加平时分），期末论文,
中西文化制度比较,赵林+其他三位,中西方思想史和文化史对谈，内容跨度很大概括性比较强，不是很深奥，还是很长见识的,老师讲的非常好，都是大师级人物，特别长见识，但是给分不高，比较严格（也可能是我水平太差了…）,论文结课，平时不点名,
古希腊文明,赵林,没有教材，是老师自己用自己的PPT讲课。上课内容是古希腊的历史、神话、艺术之类的，内容丰富，老师很风趣，讲得很好理解。期末复习可以买一本老师自己写的通识书作参考。,赵老师是武大四大名嘴之一，上课很有趣，如果对古希腊文明感兴趣可以冲！,无考勤 无平时分 无平时作业 期末闭卷考试,
西方哲学史,赵林,对从古希腊到马克思以前的哲学思想的脉络的简单梳理和评价,嗯，对西哲的相关概念和人物有了一个马马虎虎的概念和思考吧,不考勤，我们那次是闭卷考结课，较为严格,
西方哲学史,赵林,西方哲学脉络，基础哲学问题，主要聚焦于西方哲学,老师风趣幽默，上课深入浅出，带来了一些哲学视角很有趣,很少点名，成绩由期末考试决定,
西方哲学史,赵林,西方哲学史的发展概要,给分很友好 赵老师上课非常棒,无签到点名和平时作业 期末闭卷考试,
知心的艺术,赵俊华,一些心理学的知识科普？还算轻松，老师根据PPT会讲好多故事,很轻松，上课老师讲故事看视频，会有些常识性的心理理论，没有什么麻烦的作业。老师讲得还行，正常到课随便干啥，最后结合下PPT内容写两千字论文。给分蛮好的，大概85+好多好多90+，就是我89被卡绩了,讲课中途会让写两三次一百字左右的感受，偶尔会点名，期末写两千字论文,
心理学与生活,赵俊华,心理学知识，意识什么的,我个人觉得老师水平一般,偶尔点名，期中有论文作业，期末论文加开卷考试,
知心的艺术,赵俊华,关于认识内心，人的情感与想法的机制，比如心理冲突，压力的产生，相由心生，语音与心理辨识,老师很有趣，很乐观和善的一个人，课也比较有趣，还是挺喜欢这门课的,不定时点名、平时作业（两个题，总共1000字左右）、结课论文（2000字左右）,
知心的艺术,赵俊华,心理学知识，如何解压之类的,很有趣，很轻松，能学到东西，给分很高,偶尔点名，有一次平时作业，写通识课心得，期末考试是论文,
知心的艺术,赵俊华,主要讲一些心理学知识，以及一些简单的理论,老师讲的知识挺有趣的，如果想水课也是可以来的，课堂氛围很轻松，给分挺好的，结合PPT写写就可以拿3.7以上的绩点,后期会有几次签到，有两三次发纸质调查问卷来签到，结课方式是论文,
宇宙新概念,赵江南老师,天文学概论,老师超级好！！！,不签到不点名，开卷考试,
宇宙新概念,赵江南,讲宇宙 会有天文观测机会 有趣,好好好！冲！,完全开卷考 平常无作业无点名,
宇宙新概念,赵江南,理论知识部分比较枯燥，每节课都会看纪录片，老师还会讲一些自己有趣的小故事,很有意思！老师非常好！不点名，给分也很美丽,期末开卷考试，教材和电子设备都可以,
宇宙新概念,赵江南,"课程所用教材:《宇宙新概念》
主要内容:天文学相关知识，包括但不限于传统的理论知识和老师的职业经历、感情经历、游历过的城市等，还会放映有关影视作品
特点:讲得很好，老师很有意思",讲的很有意思，但压分严重，正态分布，感兴趣的话推荐选,平时考勤几乎不点名，平时没有作业，最后一节课考期末，开卷考，可以翻书,
宇宙新概念,赵江南,相当于天文学导论，用的书是赵老师自己出的书,安利,开卷考试，可以上网,
宇宙新概念,赵江南,知识点硬核但赵老师讲解生动有趣同时每节课有电影视频一个小时左右时间,很好 只不过人多热度高 90+比率一半,期末考试 纯开卷（可使用电子产品）不考勤,
宇宙新概念,赵江南,教材是老师自己编的，就叫《宇宙新概念》，上课也是按教材讲的。形式是上课+观看纪录片。,老师很有趣，会讲很多课外话题（我很爱听。。）,开卷考试，可带手机,
宇宙新概念,赵江南,主要讲关于宇宙方面的知识，很有意思，需要赵江南老师自己写的书,真的很不错，老师上课有意思，给分也很好！,开卷考试，没有点名和平时作业,
宇宙新概念,赵江南,讲述一些天文学知识，赵江南老师人很好，讲课也很有趣，一般都是前两节课讲天文学知识或者讲一些故事，第三节课放一集纪录片，就像是去听讲座一样。,赵江南老师人超好，超有趣，给分也很好，强推！！,平常老师不点名，但是老师会关注大概的到课率（也就是看空位和前几次课相比是不是变多了），结课方式为开卷考试，问的问题都可以通过书的目录找到，很简单，还可以带手机。,
宇宙新概念,赵江南,一些关于天文学的知识，上课可以不使用教材，但是开卷考会用到,老师很有趣，上课比较轻松，从来不点名，考试比较容易，大多数都是课本上有的，大约有百分之五十的人能上九十,期末考试（开卷），题型是名词解释，解答题，然后写了500字的论述题,
宇宙新概念,赵江南,教材就是《宇宙新概念》,安利安利安利,开卷考试,
宇宙新概念,赵江南,课程同名教材,安利,开卷考试,
宇宙新概念,赵江南,老师上课幽默风趣，课程所用是老师自己编的教材，他还会给人签名，还会组织一次观星活动,安利,期末开卷考，可以带电子设备，平时不点名,
宇宙新概念,赵江南,天文学和宇宙学，主要是科普，教材是老师自己写的《宇宙新概念》，老师会讲小故事但是总体有些无趣,总体比较轻松，给分一般般！可以作为备选,无平时作业无考勤，有一次天文观测，期末开卷考试(可用手机),
宇宙新概念,赵江南,上的好,好,期末开卷,
数学物理方法,赵江南,数学物理方法，高数+大物,老师讲课很好，全程板书,不签到，不点名，期中期末考,
宇宙新概念,赵江南,天文学知识 从行星到星系到宇宙,了解了更多天文方面的知识，老师学识渊博而且风趣幽默，会很认真地给分，总体而言很推荐,没有签到和点名  结业为开卷考试,
宇宙新概念,赵江南,关于宇宙一些知识和内容,老师真的很好，很喜欢,不签到不点名，期末开卷做题，需要买书，题很简单，分数也好,
宇宙新概念,赵江南,宇宙起源 天文知识 望远镜发展,老师超级好 有机会用望远镜自己观测 可冲！！,不点名 平时无作业 期末开卷考试,
宇宙新概念,赵江南,宇宙学相关科普知识，挺有趣的,挺好的，收获了宇宙学相关的知识，而且还了解到了老师的一些小故事,不签到也不点名，没有平时成绩，只有期末一次,
宇宙新概念,赵江南,宇宙基本知识 按照课本讲,很好，最后给分也挺好的，会捞人,不签到不点名，没有平时作业，期末开卷考试可以带手机和电脑，考名词解释，简答和小作文,
宇宙新概念,赵江南,天文学知识为主,好就完了,开卷考试不点名,
宇宙新概念,赵江南,讲课加视频加老师的故事 天气好还能看星星,老师超有趣！给分也好,期末开卷 名词解释 简答 小论文,
宇宙新概念,赵江南,宇宙相关的知识，还有放映纪录片,老师真的好好呜呜呜 还会分享我们很多趣事 很喜欢这门课,一学期居然从来没有签到过（），无平时作业，期末开卷考可以带手机的那种,
宇宙新概念,赵江南,天文学知识，用老师自己写的书。会有一次统一观星，特别震撼，用的天文协会的专业望远镜。老师平时上课也不是死板的知识，会分享很多自己的经历故事,非常有趣吧，了解了一些离我们遥远而陌生的东西，很推荐大家去体验一下。不过这门课给分也是蛮玄学的，60-90+都有，可能因为开卷考吧，感觉老师期末更看重个人的见解和逻辑性分析，概念理论那些反而没那么重要了。,不签到不点名，平时没有作业。期末考试开卷，有名词解释和简答题、论述题，课本上基本都有答案，没有的也可以百度。,
宇宙新概念,赵江南,宇宙天文相关内容，老师上课会讲故事！还会带我们去楼顶观星！,赵老师很有风度，传道授业解惑各方面都超级棒,无考勤，期末开卷考试,
宇宙新概念,赵江南,关于宇宙天体的知识，还有具体实践的环节,非常有趣，很轻松，给分也很好,不签到，没有平时作业，开卷考试,
宇宙新概念,赵江南,宇宙学，讲望远镜，宇宙知识,非常好，老师很博学，很可爱,不点名，期末开卷，分比较高,
宇宙新概念,赵江南,介绍天文学的经典理论以及最新的天文发现和研究成果。还会给每位同学提供一次用望远镜观测星空的机会（天气好的话）,比起天文学的知识，还是觉得老师讲的他在加蓬的外交经历更有意思  ,不点名，只有期末开卷随堂考试,
宇宙新概念,赵江南,宇宙相关知识 围绕书本内容讲解,开眼界 老师幽默风趣 还可以观星,开卷考试结课 无签到点名,
宇宙新概念,赵江南,宇宙知识、人生哲理、探索精神,很有趣！管理比较松。老师有趣。,开卷考试，很简单！用心查找就好。,
宇宙新概念,赵江南,宇宙天文，课程中看视频，很轻松,老师人很好，课程内容也很有意思，给分很棒，推荐,开卷论文，从不点名，很轻松,
宇宙新概念,赵江南,天文学知识和宇宙相关的知识,老师人特别好，给分也好,不点名，无作业，开卷考,
宇宙新概念,赵江南,天文 宇宙 有关天体物理方面的知识,给分很好 老师很有趣,期末考试 无平时点名,
宇宙新概念,赵江南,基础天文知识+纪录片+天文观测实践,老师很有趣！！学得很开心,期末开卷考试，不点名,
宇宙新概念,赵江南,天文知识 武大故事 人生经历,老师很好。冲冲冲冲冲冲冲冲冲,开卷考 不签到不点名 没有平时作业,
宇宙新概念,赵江南,宇宙相关的知识，老师讲课很幽默有意识,老师讲课很有意思，给分也还不错,开卷考试，不点名不签到,
宇宙新概念,赵江南,上半节课PPT 下半节课纪录片,好好好好好好好好好好好,不签到不点名 开卷考,
宇宙新概念,赵江南,宇宙知识、人生哲理、探索精神,很有趣！管理比较松。老师有趣。,开卷考试，很简单！用心查找就好。,
宇宙新概念,赵江南,宇宙、天体、星系的知识,课程很有趣 老师人好幽默 不点名 期末考核简单 事少没有平时作业,不点名 学期末会开卷考试,
宇宙新概念,赵江南,关于天文宇宙，老师也会讲自己的经历很有趣,宇宙起源等天文知识，老师也很好玩，期末还会带学生观星,无考勤和作业，期末开卷考试,
宇宙新概念,赵江南,讲关于宇宙的相关知识,老师讲的很好，还可以听老师的往事，十分不错，速冲,期末开卷考试，买书就可以,
宇宙新概念,赵江南,主要讲的就是宇宙当中各个事物，如黑洞啥的，讲课很生动有趣,老师是真的好，建议选！！,不签到，没有平时作业，期末开卷考试，六个名词解释，四个简答题，一个小作文,
计算机图形学,赵俭辉,知识比较硬核，考试开卷，考的相对简单,给分不错，值得选,平时作业0.3，期末0.7,
线性代数D,赵会江,线性代数同济版,讲课节奏快,期末70%，平时30%,
肿瘤离我们有多远,赵晨,肿瘤相关知识，预防恶性肿瘤等,预防恶性肿瘤的知识，培养好的生活习惯,点名，平时没有作业，期末论文结课,
肿瘤离我们有多远,赵晨,关于肿瘤的一些科普知识如消化道肿瘤，妇科肿瘤等,老师讲的很好，感觉就是免费挂了一个专家号吧！,平时点名签到，无平时作业，论文结课，给分不错,
网安导论,赵波,课程内容很水，讲课内容和教材没有任何关系。,避雷避雷.,论文?闭卷考试,
世界华文经典欣赏,赵,世界华文，累死金庸，严歌苓一类的,这个老师人很好，就是结业的时候的题目可能有点难,老师不签到不点名，平常没有作业，想做一次展示可以做一次，期末开卷考,
宇宙新概念,赵,宇宙概念等信息等等宇宙的一些天体的概念等等。,感谢老师。学到了很多东西。,不签到，平时作业没有期末考核开卷完成一篇卷子。,
数学分析,张忠祥老师,微积分的相关知识应用与证明,张老师非常注重教学，会准备许多相关资料，是武大最用心教本科学生的老师之一,不签名点到，对迟到很容忍，要拖堂，期末考核最重要,
四书导读,张昭伟,《四书章句集注》的内容,了解了四书的主要内容，提高了人文素养,点名，平时作业交一份学习心得，期末考核为论文，老师会给出应包含的内容和论文格式。,
西方哲学史,张云涛,老师讲课很无聊，口音比较重；会从古希腊讲到康德，但应该给分比较好,老师口音太重了，会影响学习,会进行签到，点名，会有小测和期末考试,
西方哲学史,张云涛,西方哲学从古希腊到康德、黑格尔,老师上课可以更生动一点就没那么枯燥了,不点到不签名没有平时作业，考试开卷或论文，老师上课声音有点小如果不对哲学感兴趣最好不要选。,
西方哲学史下,张云涛,下半年的西方哲学史相关内容,选他没毛病，老师贼好说话,不签到不点名，开卷(也有闭卷的时候),
软件技术基础,张昀,html，java，极入门的python，主要是PPT,老师超好！！！,期末试卷,
软件技术基础,张昀,"包括html，java，servlet，还有python(但可以说是没有)，都只讲一点点。个人觉得教授的内容有些混乱，并且教材为SSD1,应该挺古老的",老师给分好，人也很好，但教课感觉有些乱(应该是这门课的缘故)。这门课给人感觉教了好多，又好像什么都没学会。对入门者应该不是很有用吧，内容太乱了。都挺基础，对有软件基础的同学讲可能挺水的 。但注意课本和考试卷是全英的。,期末闭卷考试，考核的就是教的内容。平时有三次(至少张昀老师是)上机实验，会考勤。,
软件技术基础,张昀,SSD1,老师真的特别友善（人and捞）,考勤+上机作业+期末成绩,
数学物理方法,张援农,复变函数积分变换与数理方程,神中神，跨院4分一步到位，考试全是原题，背了就有95，不要选物理学院的。,有几次小测试作为签到，有一次统一的期中考复变函数积分变换，作业不多，期末只考察数理方程,
《中国现代文学与视觉文化》,张园,很好！非常好！好就完事了！我爱死这个老师了！能学到很多东西，又不会觉得很有压力！老师讲的真的很好,超级喜欢张园老师！特别特别有气质！,结课论文和一个展示,
中国现代话剧名著研读,张园,每周一般会布置两部电影(话剧、剧本），上课主要是聊聊所布置的电影和话剧。小班教学，全班会被分成几个小组，每周按顺序表演话剧(只需要表演一次，一般会给两周时间排练),园园子超级棒！！！虽然是一门专选的小班课，可是课堂上发现了不少来自其他学院的同学。园园子也很擅长把握课堂节奏，引导学生，非常酣畅淋漓的课程！！！,"1.把某部作品改写成剧本
2.表演话剧
3.平时回答问题
4.期末论文(如果前面都好好完成，期末可以选择不写)",
中国现代话剧名作研读,张园,每节课前布置一组主题的一部话剧一部电影，课上进行对比分析,老师讲的很好！能打开新思路，从更高的层次观照话剧和改善思维，期末给分也不错！安利园园子！,成绩由改编一部短篇小说为剧本，组小组表演课上讲解的话剧或电影片段，结课作业写一部话剧观后感，以及平时回答问题组成,
中国现代话剧名作研读,张园,"中国现代话剧名作与当代电影对读，分析戏剧冲突、结构等，讨论氛围浓厚
无教材",如果对话剧感兴趣，想了解更多戏剧知识，自己改编剧本创演，或者收一波老师的片单的话，强烈安利这门课！,"平时作业：剧本改编，小组排演话剧片段
期末考核：小论文",
现代文学与视觉文化,张园,讲授现代中国视觉艺术，多和文学有关，比如新诗等,张老师真的很好呜呜呜呜，而且给分也很好。课程很充实，收获摩多摩多。,不点名，期末交一篇论文。,
中国现代文学与视觉文化,张园,主要载体为视觉作品，比如插图，广告等，和文学的讲解结合。,我爱园园！！！大家快选她！！！可以学到很多东西，打开视野，挖掘思维深度，给分也很好！,不签到，不点名，一次小组作业，一个期末1500的小文章,
